id,spp,plot,subplot,gm.trt,canopy,anet,gsw,l,ci.ca,iwue,vcmax,vcmax25,jmax,jmax25,jmax25.vcmax25,composite,SPAD,phosphate_ppm,nitrate_ppm,ammonium_ppm,inorg_n_ppm
1926,Tri,3,5,ambient,open,11.83860636,0.148474062,0.525426429,0.656702587,79.73518203,82.79262365,83.38497343,158.6738513,159.4756469,1.912522608,C4,31.842,0.935,16.769,0.180699482,16.94969948
5495,Tri,3,3,weeded,open,15.82502038,0.249590615,0.314303355,0.714524262,63.40390796,85.47769381,85.89917726,176.1328761,176.7464879,2.057603967,C2,33.625,1.497,15.902,0.203256597,16.1052566
552,Tri,3,14,weeded,open,13.08396858,0.16532543,0.37524756,0.656420811,79.14068985,77.65839556,77.65053427,147.7796134,147.7690356,1.903000887,C5,30.047,1.628,4.832,0.264896373,5.096896373
916,Tri,3,16,ambient,open,14.87148345,0.177952393,0.414067159,0.636455796,83.57001105,93.63943406,94.00526539,172.5810364,173.0574803,1.840933904,C7,32.157,1.426,17.693,0.187176166,17.88017617
1686,Tri,3,6,ambient,open,14.05270869,0.144608857,0.41038848,0.592885741,97.17737199,85.55836213,85.92442452,154.11081,154.5767141,1.798984572,C4,34.106,0.935,16.769,0.180699482,16.94969948
2416,Tri,3,17,ambient,open,13.18355301,0.152416776,0.473172459,0.626184461,86.4967319,88.14985876,88.78999073,146.8610369,147.6142515,1.662510046,C8,34.938,0.559,22.785,0.125,22.91
3563,Tri,3,4,ambient,open,11.79064329,0.14435188,0.452304743,0.647266196,81.67987345,72.57899192,74.05535345,132.4340057,134.3326541,1.813949267,C3,NA,1.537,12.818,0.12888601,12.94688601
4714,Tri,3,7,weeded,open,13.78498817,0.182451938,0.348781052,0.667324699,75.55407918,75.93027493,75.79954328,143.2944065,143.1199119,1.888136863,C1,34.01,1.366,12.362,0.19365285,12.55565285
5488,Tri,3,1,weeded,open,13.17314056,0.132422625,0.463379258,0.575686698,99.47802016,84.12996128,85.9640295,172.2072085,174.8525349,2.034019763,C1,35.715,1.366,12.362,0.19365285,12.55565285
6578,Tri,3,1,weeded,open,12.229702,0.129464452,0.428025032,0.59652232,94.46378377,74.2005965,74.57983036,137.8472124,138.3449619,1.854991641,C1,NA,1.366,12.362,0.19365285,12.55565285
902,Tri,3,7,weeded,open,15.63029543,0.188616508,0.443229422,0.635616199,82.86812006,100.1558336,99.98194251,176.0182644,175.8021186,1.758338697,C1,29.353,1.366,12.362,0.19365285,12.55565285
583,Tri,3,23,ambient,open,9.629140061,0.108066281,0.503472684,0.613797437,89.10401998,75.95074235,76.26582831,137.1127755,137.5147095,1.803097305,C8,37.9,0.559,22.785,0.125,22.91
5479,Tri,3,21,weeded,open,11.88229882,0.133525777,0.564823176,0.610261692,88.98880117,109.4747925,110.1032427,186.8042744,187.5618275,1.70350866,C6,44.936,1.359,17.447,0.16126943,17.60826943
43,Tri,5,9,weeded,open,13.09090347,0.153907765,0.398090981,0.633697952,85.05680964,75.9288314,75.97266166,147.6158189,147.6771133,1.943819133,C2,37.513,1.378,18.064,0.174222798,18.2382228
86,Tri,5,9,weeded,open,11.54586785,0.158067323,0.338749123,0.682986005,73.0439893,63.32818158,63.27953286,124.9807328,124.9116534,1.97396611,C2,33.061,1.378,18.064,0.174222798,18.2382228
